,Flow,Flow,Flow,Flow,Flow,Flow,Flow,Flow,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,SwUsageRate,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow,NatFlow
2010-05-29,208.411,0.119,36.274,84.683,6.185,3.813,84.792,26.939,0.282,0.002,2.559,2.013,0.513,0.512,4.59,0.0,208.693,0.121,38.833,86.696,6.697,4.325,89.382,26.939
2010-05-30,264.504,0.119,42.904,125.179,7.893,3.368,105.497,26.471,0.271,0.002,2.544,2.04,0.515,0.513,4.603,0.0,264.776,0.122,45.448,127.219,8.407,3.881,110.1,26.471
2010-05-31,128.161,0.096,34.339,74.534,4.915,2.406,78.952,21.865,0.261,0.002,2.529,2.066,0.516,0.514,4.616,0.0,128.422,0.099,36.868,76.601,5.432,2.921,83.568,21.865
2010-06-01,69.114,0.084,26.056,39.196,3.012,1.676,55.123,18.013,0.251,0.002,2.519,2.118,0.518,0.516,4.658,0.0,69.365,0.086,28.575,41.313,3.53,2.192,59.781,18.013
2010-06-02,47.9,0.077,24.024,32.444,1.928,1.442,49.595,15.693,0.241,0.002,2.506,2.144,0.52,0.517,4.673,0.0,48.141,0.079,26.53,34.588,2.448,1.959,54.268,15.693
2010-06-03,36.245,0.073,22.935,29.122,1.467,1.212,46.689,13.796,0.231,0.002,2.495,2.169,0.522,0.519,4.687,0.0,36.476,0.076,25.43,31.292,1.989,1.73,51.376,13.796
2010-06-04,28.19,0.07,22.956,29.184,1.114,0.954,46.744,13.694,0.221,0.002,2.484,2.194,0.524,0.52,4.703,0.0,28.411,0.072,25.44,31.378,1.638,1.474,51.447,13.694
2010-06-05,23.531,0.067,22.763,28.617,0.913,0.794,46.234,11.986,0.212,0.002,2.476,2.218,0.526,0.521,4.719,0.0,23.743,0.069,25.238,30.834,1.438,1.315,50.953,11.986
2010-06-06,21.344,0.067,20.988,23.689,0.832,0.713,41.599,12.346,0.203,0.002,2.468,2.24,0.527,0.523,4.735,0.0,21.547,0.069,23.457,25.929,1.359,1.236,46.334,12.346
2010-06-07,115.249,0.45,44.086,133.357,5.058,2.426,109.296,25.672,0.195,0.002,2.463,2.261,0.529,0.525,4.751,0.0,115.444,0.452,46.549,135.618,5.586,2.95,114.047,25.672
2010-06-08,153.183,0.234,40.412,108.899,3.541,2.984,97.592,20.327,0.188,0.002,2.46,2.28,0.53,0.526,4.768,0.0,153.37,0.236,42.872,111.179,4.071,3.51,102.36,20.327
2010-06-09,71.206,0.139,27.165,43.19,2.022,1.755,58.196,16.312,0.181,0.002,2.459,2.297,0.532,0.528,4.785,0.0,71.387,0.141,29.624,45.487,2.553,2.283,62.981,16.312
2010-06-10,46.241,0.112,23.606,31.144,1.492,1.317,48.474,13.204,0.175,0.002,2.461,2.312,0.533,0.53,4.802,0.0,46.416,0.114,26.066,33.456,2.025,1.847,53.276,13.204
2010-06-11,35.281,0.098,20.943,23.57,1.569,1.09,41.482,13.358,0.17,0.002,2.465,2.324,0.534,0.531,4.819,0.0,35.451,0.1,23.408,25.894,2.103,1.622,46.301,13.358
2010-06-12,27.67,0.088,18.271,17.153,1.378,0.863,34.73,13.801,0.166,0.002,2.472,2.334,0.535,0.533,4.836,0.0,27.836,0.09,20.743,19.487,1.913,1.396,39.566,13.801
2010-06-13,23.507,0.092,18.182,16.958,1.165,0.773,34.509,12.493,0.162,0.002,2.482,2.34,0.536,0.535,4.853,0.0,23.67,0.094,20.664,19.299,1.701,1.308,39.362,12.493
2010-06-14,20.069,0.086,16.935,14.373,0.93,0.692,31.461,10.833,0.161,0.002,2.496,2.344,0.537,0.537,4.87,0.0,20.229,0.087,19.43,16.717,1.467,1.229,36.331,10.833
2010-06-15,17.004,0.079,17.437,15.386,0.781,0.645,32.682,9.355,0.16,0.002,2.513,2.344,0.537,0.539,4.887,0.0,17.164,0.081,19.95,17.73,1.318,1.184,37.569,9.355
2010-06-16,15.066,0.077,17.704,15.939,0.685,0.558,33.334,8.463,0.16,0.002,2.54,2.34,0.538,0.541,4.911,0.0,15.226,0.079,20.244,18.279,1.222,1.099,38.245,8.463
2010-06-17,13.723,0.076,18.372,17.374,0.615,0.506,34.98,7.899,0.16,0.002,2.585,2.332,0.538,0.542,4.947,0.0,13.884,0.077,20.957,19.706,1.153,1.048,39.927,7.899
2010-06-18,12.639,0.075,17.615,15.754,0.556,0.495,33.117,7.402,0.161,0.002,2.645,2.32,0.539,0.544,4.995,0.0,12.8,0.077,20.26,18.074,1.095,1.04,38.112,7.402
2010-06-19,11.936,0.073,17.099,14.7,1.065,0.529,31.86,16.793,0.161,0.002,2.72,2.304,0.539,0.546,5.054,0.0,12.097,0.075,19.819,17.005,1.604,1.076,36.914,16.793
2010-06-20,12.874,0.078,26.412,40.455,2.137,0.836,56.106,24.128,0.162,0.002,2.807,2.285,0.54,0.548,5.122,0.0,13.036,0.079,29.219,42.74,2.676,1.385,61.228,24.128
2010-06-21,16.059,0.093,28.689,49.046,1.991,0.909,62.483,21.35,0.162,0.002,2.907,2.263,0.54,0.551,5.2,0.0,16.221,0.094,31.596,51.309,2.531,1.46,67.683,21.35
2010-06-22,14.575,0.086,25.085,35.879,1.212,1.076,52.465,16.273,0.163,0.002,3.017,2.238,0.541,0.553,5.285,0.0,14.738,0.088,28.102,38.117,1.753,1.629,57.75,16.273
2010-06-23,21.338,0.111,23.555,30.988,1.129,1.486,48.338,14.391,0.164,0.002,3.137,2.211,0.542,0.555,5.377,0.0,21.502,0.113,26.692,33.199,1.671,2.041,53.715,14.391
2010-06-24,27.982,0.192,24.538,34.084,1.051,2.74,50.981,12.812,0.165,0.002,3.265,2.182,0.542,0.557,5.475,0.0,28.147,0.194,27.803,36.266,1.593,3.296,56.456,12.812
2010-06-25,36.062,0.137,22.863,28.91,0.925,2.9,46.498,11.466,0.166,0.002,3.4,2.151,0.543,0.559,5.579,0.0,36.228,0.139,26.263,31.06,1.468,3.459,52.077,11.466
2010-06-26,29.271,0.109,20.788,23.166,0.794,1.82,41.083,10.683,0.167,0.002,3.541,2.118,0.543,0.561,5.686,0.0,29.438,0.111,24.329,25.284,1.338,2.381,46.769,10.683
2010-06-27,24.69,0.096,19.645,20.307,0.744,1.336,38.167,10.493,0.168,0.002,3.686,2.084,0.544,0.563,5.797,0.0,24.858,0.098,23.33,22.392,1.288,1.9,43.964,10.493
2010-06-28,21.715,0.087,19.233,19.33,0.729,1.11,37.129,10.396,0.169,0.002,3.834,2.05,0.544,0.566,5.91,0.0,21.883,0.089,23.067,21.38,1.274,1.676,43.039,10.396
2010-06-29,18.971,0.082,18.439,17.523,0.675,0.924,35.147,9.902,0.17,0.002,3.984,2.015,0.545,0.568,6.024,0.0,19.141,0.084,22.423,19.538,1.22,1.492,41.171,9.902
2010-06-30,16.53,0.078,17.417,15.344,0.649,0.776,32.632,9.271,0.171,0.002,4.135,1.979,0.545,0.57,6.139,0.0,16.701,0.08,21.552,17.323,1.194,1.346,38.771,9.271
2010-07-01,14.358,0.076,18.145,16.88,0.633,0.671,34.42,8.552,0.172,0.002,4.285,1.944,0.546,0.572,6.253,0.0,14.53,0.078,22.431,18.824,1.179,1.243,40.673,8.552
2010-07-02,12.264,0.074,13.101,7.907,0.621,0.591,22.526,8.194,0.173,0.002,4.434,1.908,0.546,0.575,6.366,0.0,12.437,0.077,17.535,9.815,1.168,1.166,28.892,8.194
2010-07-03,10.666,0.073,12.725,7.389,0.601,0.54,21.689,7.895,0.174,0.002,4.579,1.874,0.546,0.577,6.476,0.0,10.84,0.076,17.305,9.263,1.148,1.117,28.165,7.895
2010-07-04,8.999,0.072,12.291,6.815,0.57,0.501,20.731,7.634,0.175,0.002,4.721,1.84,0.547,0.579,6.583,0.0,9.174,0.075,17.012,8.656,1.117,1.081,27.314,7.634
2010-07-05,7.534,0.073,11.817,6.219,0.529,0.478,19.696,7.319,0.176,0.002,4.856,1.808,0.547,0.582,6.686,0.0,7.709,0.075,16.673,8.026,1.075,1.06,26.382,7.319
2010-07-06,6.198,0.073,11.247,5.542,0.513,0.462,18.468,6.989,0.176,0.002,4.985,1.777,0.547,0.584,6.784,0.0,6.375,0.075,16.232,7.319,1.06,1.046,25.252,6.989
2010-07-07,5.288,0.074,10.912,5.165,0.504,0.454,17.755,6.714,0.177,0.002,5.106,1.748,0.547,0.586,6.875,0.0,5.466,0.076,16.018,6.913,1.051,1.041,24.63,6.714
2010-07-08,4.899,0.073,10.336,4.553,0.485,0.435,16.546,6.543,0.178,0.002,5.218,1.721,0.547,0.589,6.959,0.0,5.077,0.075,15.554,6.274,1.032,1.024,23.505,6.543
2010-07-09,4.581,0.073,10.05,4.265,0.477,0.455,15.952,6.355,0.179,0.002,5.319,1.697,0.547,0.591,7.035,0.0,4.759,0.075,15.369,5.962,1.024,1.046,22.987,6.355
2010-07-10,3.825,0.073,9.321,3.58,0.458,0.461,14.464,6.009,0.179,0.002,5.408,1.675,0.546,0.594,7.102,0.0,4.004,0.075,14.73,5.255,1.004,1.054,21.566,6.009
2010-07-11,2.613,0.073,8.121,2.597,0.437,0.404,12.089,5.838,0.179,0.002,5.484,1.656,0.546,0.596,7.16,0.0,2.792,0.075,13.606,4.253,0.983,1.0,19.249,5.838
2010-07-12,1.424,0.073,7.756,2.333,0.419,0.374,11.386,5.673,0.18,0.002,5.546,1.641,0.545,0.599,7.206,0.0,1.604,0.075,13.302,3.974,0.964,0.972,18.592,5.673
2010-07-13,1.174,0.073,7.533,2.18,0.412,0.367,10.961,5.607,0.18,0.002,5.593,1.63,0.545,0.601,7.24,0.0,1.354,0.075,13.125,3.809,0.957,0.968,18.201,5.607
2010-07-14,0.915,0.072,9.586,3.821,0.41,0.381,15.001,5.526,0.18,0.002,5.623,1.622,0.544,0.603,7.262,0.0,1.094,0.075,15.209,5.443,0.954,0.985,22.263,5.526
2010-07-15,0.812,0.073,10.612,4.841,0.404,0.396,17.124,5.407,0.18,0.002,5.634,1.619,0.543,0.606,7.27,0.0,0.992,0.075,16.247,6.46,0.947,1.002,24.394,5.407
2010-07-16,0.756,0.073,10.407,4.626,0.394,0.392,16.694,5.283,0.179,0.002,5.628,1.617,0.541,0.608,7.262,0.0,0.935,0.075,16.035,6.243,0.935,1.001,23.956,5.283
2010-07-17,0.88,0.074,8.143,2.613,0.39,0.328,12.13,5.321,0.179,0.002,5.604,1.615,0.539,0.611,7.237,0.0,1.059,0.077,13.747,4.228,0.929,0.939,19.367,5.321
2010-07-18,0.815,0.074,7.342,2.054,0.388,0.423,10.602,5.166,0.178,0.002,5.565,1.613,0.537,0.614,7.195,0.0,0.993,0.076,12.907,3.667,0.925,1.037,17.797,5.166
2010-07-19,0.711,0.074,9.022,3.318,0.381,0.394,13.863,5.067,0.178,0.002,5.511,1.611,0.533,0.616,7.139,0.0,0.888,0.077,14.534,4.929,0.914,1.01,21.002,5.067
2010-07-20,0.678,0.074,8.366,2.783,0.393,0.33,12.565,5.214,0.177,0.002,5.444,1.608,0.53,0.619,7.069,0.0,0.855,0.076,13.81,4.391,0.923,0.949,19.634,5.214
2010-07-21,0.753,0.074,10.207,4.421,0.447,0.305,16.277,5.595,0.176,0.002,5.365,1.605,0.525,0.621,6.986,0.0,0.929,0.077,15.571,6.026,0.972,0.926,23.263,5.595
2010-07-22,0.946,0.08,9.019,3.315,0.458,0.379,13.856,5.84,0.175,0.002,5.274,1.602,0.521,0.624,6.893,0.0,1.121,0.082,14.293,4.916,0.979,1.003,20.749,5.84
2010-07-23,97.799,0.22,31.303,60.083,4.481,1.927,69.99,21.498,0.174,0.002,5.174,1.598,0.516,0.627,6.789,0.0,97.972,0.223,36.477,61.681,4.997,2.553,76.779,21.498
2010-07-24,68.712,0.125,35.573,80.922,2.538,2.308,82.666,13.448,0.172,0.002,5.065,1.594,0.51,0.629,6.676,0.0,68.884,0.127,40.638,82.517,3.048,2.937,89.342,13.448
2010-07-25,19.221,0.09,24.541,34.094,1.17,1.334,50.989,9.09,0.171,0.002,4.948,1.591,0.504,0.632,6.556,0.0,19.393,0.093,29.489,35.684,1.675,1.965,57.545,9.09
2010-07-26,8.633,0.078,19.899,20.923,0.805,0.99,38.81,7.467,0.17,0.002,4.826,1.587,0.499,0.635,6.429,0.0,8.803,0.08,24.724,22.51,1.303,1.625,45.239,7.467
2010-07-27,5.098,0.069,16.705,13.922,0.754,0.858,30.906,7.158,0.168,0.002,4.697,1.583,0.492,0.637,6.296,0.0,5.267,0.071,21.402,15.505,1.246,1.495,37.202,7.158
2010-07-28,3.228,0.063,15.462,11.629,0.692,0.776,27.947,6.228,0.167,0.002,4.565,1.579,0.486,0.64,6.16,0.0,3.395,0.065,20.027,13.208,1.178,1.416,34.107,6.228
2010-07-29,2.354,0.06,13.643,8.689,0.608,0.594,23.746,5.739,0.166,0.002,4.43,1.575,0.48,0.643,6.021,0.0,2.52,0.062,18.073,10.264,1.088,1.236,29.767,5.739
2010-07-30,1.803,0.058,12.262,6.778,0.56,0.519,20.668,5.353,0.164,0.002,4.294,1.571,0.473,0.645,5.881,0.0,1.967,0.061,16.556,8.35,1.033,1.165,26.549,5.353
2010-07-31,1.514,0.058,11.501,5.839,0.536,0.485,19.014,5.248,0.163,0.002,4.156,1.568,0.467,0.648,5.739,0.0,1.677,0.06,15.658,7.406,1.003,1.133,24.753,5.248
2010-08-01,1.41,0.058,13.084,7.883,2.214,0.483,22.488,21.804,0.161,0.002,4.02,1.564,0.461,0.651,5.599,0.0,1.572,0.061,17.104,9.447,2.675,1.134,28.087,21.804
2010-08-02,1.558,0.057,36.62,86.575,5.301,0.861,85.846,25.493,0.16,0.002,3.885,1.56,0.455,0.654,5.461,0.0,1.718,0.059,40.505,88.136,5.755,1.514,91.307,25.493
2010-08-03,1.369,0.058,29.731,53.293,2.005,0.711,65.452,19.349,0.159,0.002,3.753,1.557,0.449,0.656,5.326,0.0,1.527,0.06,33.484,54.85,2.453,1.367,70.778,19.349
2010-08-04,1.098,0.057,26.516,40.827,1.281,0.542,56.394,15.381,0.157,0.002,3.625,1.554,0.443,0.659,5.195,0.0,1.255,0.06,30.142,42.381,1.724,1.201,61.589,15.381
2010-08-05,0.922,0.057,22.341,27.396,1.031,0.461,45.121,13.026,0.156,0.002,3.503,1.551,0.437,0.662,5.07,0.0,1.078,0.059,25.844,28.948,1.469,1.123,50.191,13.026
2010-08-06,0.782,0.058,16.375,13.291,0.827,0.41,30.115,11.639,0.155,0.002,3.387,1.549,0.432,0.665,4.951,0.0,0.937,0.06,19.762,14.84,1.259,1.075,35.066,11.639
2010-08-07,0.931,0.059,15.499,11.693,0.781,0.321,28.034,11.341,0.154,0.002,3.279,1.547,0.427,0.667,4.841,0.0,1.085,0.062,18.778,13.24,1.208,0.988,32.875,11.341
2010-08-08,99.591,0.076,33.851,72.095,4.108,7.16,77.497,16.513,0.153,0.002,3.18,1.545,0.423,0.67,4.739,0.0,99.744,0.078,37.031,73.64,4.53,7.83,82.236,16.513
2010-08-09,102.142,0.099,38.21,95.581,2.056,5.066,90.729,12.139,0.152,0.002,3.09,1.544,0.418,0.673,4.649,0.0,102.295,0.101,41.3,97.125,2.474,5.739,95.378,12.139
2010-08-10,73.391,0.074,29.826,53.688,1.43,1.911,65.723,10.115,0.151,0.002,3.012,1.543,0.415,0.676,4.57,0.0,73.543,0.076,32.838,55.231,1.844,2.587,70.293,10.115
2010-08-11,54.469,0.069,28.245,47.295,1.23,1.228,61.226,9.46,0.151,0.002,2.946,1.543,0.412,0.678,4.503,0.0,54.62,0.071,31.191,48.838,1.641,1.907,65.729,9.46
2010-08-12,50.239,0.066,23.588,31.089,1.389,0.87,48.426,9.822,0.15,0.002,2.894,1.543,0.409,0.681,4.451,0.0,50.389,0.068,26.481,32.632,1.798,1.551,52.877,9.822
2010-08-13,177.039,0.066,48.839,169.255,42.717,0.578,124.875,77.015,0.15,0.002,2.856,1.544,0.408,0.684,4.414,0.0,177.189,0.068,51.695,170.799,43.125,1.262,129.289,77.015
2010-08-14,300.212,0.07,83.187,584.867,66.244,1.856,249.754,58.341,0.15,0.002,2.834,1.545,0.407,0.687,4.393,0.0,300.361,0.072,86.021,586.412,66.65,2.543,254.147,58.341
2010-08-15,100.489,0.066,42.713,123.885,20.842,1.137,104.886,34.13,0.15,0.002,2.829,1.547,0.406,0.689,4.39,0.0,100.639,0.068,45.542,125.432,21.249,1.826,109.276,34.13
2010-08-16,60.253,0.065,38.463,97.06,13.561,1.053,91.511,29.246,0.15,0.002,2.838,1.55,0.406,0.692,4.401,0.0,60.403,0.067,41.3,98.609,13.968,1.745,95.912,29.246
2010-08-17,42.334,0.064,32.159,63.977,10.448,0.975,72.491,20.67,0.15,0.002,2.854,1.552,0.406,0.695,4.419,0.0,42.484,0.066,35.012,65.53,10.855,1.67,76.91,20.67
2010-08-18,40.116,0.061,35.51,80.588,11.91,1.432,82.475,19.029,0.151,0.002,2.877,1.555,0.406,0.698,4.446,0.0,40.267,0.063,38.387,82.143,12.317,2.13,86.921,19.029
2010-08-19,48.474,0.06,47.322,157.27,10.816,2.411,119.852,18.879,0.151,0.002,2.908,1.559,0.407,0.7,4.48,0.0,48.625,0.062,50.23,158.829,11.223,3.112,124.332,18.879
2010-08-20,39.29,0.06,30.945,58.498,8.715,1.518,68.952,15.691,0.152,0.002,2.946,1.562,0.407,0.703,4.521,0.0,39.442,0.061,33.891,60.06,9.121,2.221,73.473,15.691
2010-08-21,30.618,0.059,23.527,30.902,6.929,1.304,48.263,13.154,0.152,0.002,2.99,1.566,0.407,0.706,4.569,0.0,30.771,0.061,26.516,32.468,7.336,2.01,52.832,13.154
2010-08-22,24.561,0.059,19.638,20.292,5.657,1.145,38.151,11.136,0.153,0.002,3.04,1.57,0.408,0.709,4.622,0.0,24.714,0.061,22.678,21.863,6.065,1.853,42.773,11.136
2010-08-23,19.84,0.058,19.497,19.953,4.963,0.997,37.793,9.45,0.154,0.002,3.095,1.575,0.408,0.711,4.682,0.0,19.994,0.059,22.592,21.528,5.371,1.709,42.475,9.45
2010-08-24,16.437,0.056,18.384,17.4,4.299,0.916,35.009,7.959,0.155,0.002,3.156,1.579,0.408,0.714,4.747,0.0,16.592,0.058,21.539,18.98,4.708,1.63,39.756,7.959
2010-08-25,13.805,0.056,15.774,12.184,3.825,0.779,28.685,7.213,0.156,0.001,3.221,1.584,0.409,0.717,4.816,0.0,13.961,0.058,18.995,13.767,4.234,1.496,33.501,7.213
2010-08-26,12.703,0.057,15.507,11.708,4.786,0.744,28.053,8.561,0.157,0.001,3.29,1.589,0.409,0.72,4.891,0.0,12.861,0.059,18.797,13.296,5.195,1.464,32.944,8.561
2010-08-27,10.888,0.056,15.162,11.11,3.943,0.772,27.244,7.788,0.159,0.001,3.364,1.594,0.41,0.722,4.969,0.0,11.046,0.057,18.526,12.704,4.353,1.494,32.213,7.788
2010-08-28,9.926,0.056,12.584,7.2,3.38,0.697,21.377,8.401,0.16,0.001,3.441,1.599,0.41,0.725,5.05,0.0,10.086,0.057,16.025,8.798,3.791,1.422,26.427,8.401
2010-08-29,10.454,0.066,12.533,7.132,3.132,0.527,21.264,9.606,0.161,0.001,3.521,1.604,0.411,0.728,5.135,0.0,10.615,0.068,16.054,8.736,3.543,1.255,26.399,9.606
2010-08-30,65.374,0.21,24.155,32.858,4.594,1.069,49.948,14.609,0.162,0.001,3.604,1.609,0.412,0.73,5.223,0.0,65.536,0.212,27.759,34.467,5.005,1.8,55.171,14.609
2010-08-31,155.703,0.168,39.949,106.015,6.952,3.122,96.139,16.733,0.164,0.001,3.689,1.614,0.412,0.733,5.313,0.0,155.867,0.169,43.637,107.629,7.365,3.855,101.452,16.733
2010-09-01,94.916,0.115,30.489,56.51,4.782,2.019,67.632,11.519,0.165,0.001,3.775,1.619,0.413,0.736,5.405,0.0,95.081,0.116,34.265,58.129,5.195,2.755,73.037,11.519
2010-09-02,54.776,0.092,26.386,40.362,4.729,1.604,56.034,11.644,0.166,0.001,3.864,1.624,0.414,0.739,5.498,0.0,54.942,0.093,30.25,41.986,5.143,2.342,61.532,11.644
2010-09-03,38.956,0.079,24.022,32.438,4.464,1.616,49.59,10.153,0.168,0.001,3.953,1.629,0.414,0.741,5.593,0.0,39.124,0.08,27.975,34.068,4.878,2.357,55.183,10.153
2010-09-04,33.446,0.071,19.76,20.586,3.776,1.578,38.459,8.446,0.169,0.001,4.043,1.635,0.415,0.744,5.688,0.0,33.615,0.072,23.804,22.221,4.191,2.322,44.147,8.446
2010-09-05,22.558,0.068,17.587,15.695,3.555,1.46,33.048,8.682,0.171,0.001,4.134,1.64,0.416,0.747,5.783,0.0,22.728,0.069,21.721,17.335,3.971,2.206,38.831,8.682
2010-09-06,20.418,0.065,25.341,36.736,10.504,2.034,53.162,25.858,0.172,0.001,4.224,1.644,0.417,0.749,5.878,0.0,20.59,0.066,29.565,38.381,10.92,2.783,59.04,25.858
2010-09-07,21.352,0.065,25.07,35.828,8.463,1.47,52.423,20.908,0.173,0.001,4.314,1.649,0.417,0.752,5.972,0.0,21.526,0.065,29.383,37.477,8.881,2.222,58.395,20.908
2010-09-08,31.852,0.066,27.472,44.337,7.294,1.61,59.055,18.443,0.174,0.001,4.402,1.654,0.418,0.755,6.065,0.0,32.026,0.066,31.875,45.991,7.713,2.365,65.12,18.443
2010-09-09,33.307,0.065,26.147,39.514,6.024,1.37,55.373,14.165,0.176,0.001,4.49,1.658,0.419,0.757,6.157,0.0,33.482,0.065,30.636,41.173,6.443,2.128,61.53,14.165
2010-09-10,29.282,0.067,21.507,25.074,5.147,1.156,42.941,13.447,0.177,0.001,4.575,1.663,0.42,0.76,6.247,0.0,29.459,0.067,26.082,26.736,5.567,1.916,49.188,13.447
2010-09-11,23.809,0.065,17.916,16.388,4.361,1.041,33.855,10.769,0.178,0.001,4.659,1.667,0.421,0.763,6.334,0.0,23.987,0.065,22.575,18.055,4.782,1.804,40.189,10.769
2010-09-12,20.409,0.064,16.705,13.924,4.385,1.09,30.908,13.062,0.179,0.001,4.74,1.671,0.422,0.765,6.419,0.0,20.588,0.065,21.445,15.595,4.807,1.855,37.327,13.062
2010-09-13,25.887,0.065,28.037,46.487,7.572,2.83,60.639,21.914,0.18,0.001,4.817,1.675,0.423,0.768,6.501,0.0,26.067,0.065,32.854,48.162,7.995,3.598,67.14,21.914
2010-09-14,18.605,0.064,24.612,34.324,5.998,1.773,51.181,18.425,0.181,0.001,4.892,1.678,0.424,0.771,6.578,0.0,18.786,0.065,29.504,36.002,6.421,2.544,57.759,18.425
2010-09-15,15.356,0.063,25.156,36.116,4.955,1.431,52.658,14.774,0.182,0.001,4.962,1.681,0.425,0.773,6.652,0.0,15.538,0.063,30.118,37.797,5.38,2.204,59.31,14.774
2010-09-16,12.93,0.064,21.351,24.653,4.189,1.061,42.537,12.8,0.183,0.001,5.034,1.684,0.426,0.776,6.727,0.0,13.113,0.064,26.385,26.338,4.614,1.837,49.264,12.8
2010-09-17,12.929,0.063,20.028,21.243,4.53,1.276,39.14,10.919,0.184,0.001,5.112,1.688,0.427,0.779,6.809,0.0,13.113,0.064,25.141,22.931,4.957,2.055,45.949,10.919
2010-09-18,11.4,0.062,16.074,12.73,4.002,1.154,29.397,8.918,0.185,0.001,5.196,1.692,0.428,0.782,6.897,0.0,11.585,0.062,21.27,14.422,4.43,1.937,36.294,8.918
2010-09-19,9.676,0.061,12.692,7.344,3.464,0.784,21.616,7.692,0.186,0.001,5.285,1.697,0.429,0.786,6.99,0.0,9.862,0.061,17.977,9.041,3.894,1.57,28.606,7.692
2010-09-20,8.723,0.062,10.196,4.411,3.749,0.944,16.255,7.509,0.187,0.001,5.378,1.701,0.431,0.79,7.088,0.0,8.91,0.062,15.574,6.112,4.18,1.733,23.343,7.509
2010-09-21,7.809,0.061,11.517,5.857,3.468,1.129,19.048,6.873,0.189,0.001,5.475,1.707,0.433,0.794,7.19,0.0,7.997,0.061,16.992,7.564,3.901,1.923,26.238,6.873
2010-09-22,7.073,0.06,11.489,5.824,3.163,0.941,18.988,6.399,0.19,0.001,5.575,1.712,0.435,0.798,7.296,0.0,7.263,0.061,17.064,7.536,3.598,1.739,26.284,6.399
2010-09-23,6.463,0.059,11.927,6.355,2.965,1.11,19.936,5.908,0.192,0.001,5.678,1.718,0.436,0.802,7.405,0.0,6.654,0.06,17.605,8.073,3.402,1.912,27.341,5.908
2010-09-24,6.074,0.06,12.236,6.744,2.981,0.839,20.609,5.787,0.193,0.001,5.783,1.724,0.439,0.807,7.516,0.0,6.267,0.061,18.019,8.467,3.42,1.645,28.125,5.787
2010-09-25,5.763,0.059,13.797,8.919,3.385,0.777,24.096,6.176,0.195,0.001,5.89,1.73,0.441,0.811,7.629,0.0,5.957,0.06,19.687,10.649,3.826,1.589,31.725,6.176
2010-09-26,5.383,0.058,13.776,8.888,4.213,0.836,24.049,11.409,0.197,0.001,5.998,1.736,0.443,0.816,7.744,0.0,5.579,0.06,19.774,10.625,4.656,1.652,31.793,11.409
2010-09-27,5.098,0.058,16.805,14.119,4.001,0.92,31.149,11.426,0.198,0.001,6.107,1.743,0.446,0.82,7.859,0.0,5.296,0.06,22.912,15.862,4.446,1.74,39.008,11.426
2010-09-28,4.958,0.06,14.113,9.403,3.368,0.774,24.817,9.643,0.2,0.001,6.215,1.75,0.448,0.825,7.974,0.0,5.159,0.061,20.328,11.152,3.816,1.599,32.791,9.643
2010-09-29,5.414,0.059,15.047,10.916,4.215,0.791,26.976,15.083,0.202,0.001,6.323,1.757,0.451,0.83,8.089,0.0,5.616,0.06,21.37,12.672,4.666,1.622,35.065,15.083
2010-09-30,5.925,0.061,22.443,27.69,8.812,1.097,45.391,39.594,0.204,0.001,6.429,1.764,0.454,0.835,8.203,0.0,6.129,0.062,28.873,29.454,9.266,1.932,53.594,39.594
2010-10-01,5.489,0.06,30.093,54.816,7.988,1.577,66.491,36.702,0.206,0.002,6.534,1.766,0.456,0.84,8.31,0.0,5.695,0.061,36.627,56.582,8.444,2.417,74.801,36.702
2010-10-02,4.633,0.024,22.547,27.989,4.027,0.981,45.664,26.574,0.208,0.002,6.636,1.773,0.459,0.845,8.42,0.0,4.841,0.025,29.183,29.762,4.486,1.825,54.084,26.574
2010-10-03,4.305,0.008,19.268,19.413,2.836,0.859,37.218,20.432,0.211,0.002,6.736,1.781,0.463,0.85,8.527,0.0,4.516,0.009,26.004,21.194,3.299,1.709,45.745,20.432
2010-10-04,4.198,0.013,16.961,14.424,2.381,0.851,31.524,17.703,0.213,0.002,6.832,1.788,0.466,0.854,8.63,0.0,4.411,0.015,23.792,16.212,2.846,1.705,40.154,17.703
2010-10-05,4.13,0.03,16.349,13.242,2.139,0.904,30.052,16.128,0.215,0.002,6.924,1.795,0.469,0.859,8.73,0.0,4.345,0.032,23.272,15.037,2.608,1.763,38.782,16.128
2010-10-06,4.037,0.038,15.215,11.202,1.925,0.937,27.369,15.246,0.217,0.002,7.011,1.802,0.473,0.864,8.824,0.0,4.254,0.04,22.226,13.004,2.398,1.801,36.193,15.246
2010-10-07,3.98,0.021,14.872,10.621,1.81,0.921,26.567,14.603,0.22,0.002,7.093,1.809,0.476,0.868,8.914,0.0,4.2,0.023,21.965,12.431,2.286,1.79,35.481,14.603
2010-10-08,3.933,0.012,14.472,9.969,1.738,0.949,25.642,13.708,0.222,0.002,7.169,1.816,0.48,0.873,8.997,0.0,4.155,0.014,21.641,11.785,2.218,1.822,34.639,13.708
2010-10-09,4.938,0.016,14.905,10.677,1.726,0.896,26.645,14.09,0.225,0.002,7.239,1.823,0.484,0.877,9.074,0.0,5.163,0.018,22.145,12.5,2.209,1.773,35.719,14.09
